0	-0.00639344	0
0.01	-0.00639276	4.14117e-05
0.02	-0.00639072	8.26923e-05
0.05	-0.00637706	0.00020464
0.1	-0.00633366	0.000398095
0.2	-0.00619141	0.000744266
0.5	-0.00552656	0.0014111
1.0	-0.0045564	0.00161289
2.0	-0.00372656	0.00137053
3.0	-0.00339467	0.00119741
5.0	-0.00305732	0.00102124
6.0	-0.00294986	0.000965494
10.0	-0.00268725	0.000823328
20.0	-0.002412	0.000686552
27.0	-0.00231244	0.000652528
50.0	-0.00212628	0.000639539
100.0	-0.00189738	0.000732157
200.0	-0.00153993	0.000917016
500.0	-0.000776298	0.000989645
1000.0	-0.000270289	0.000735245
2000.0	-3.11631e-05	0.000415854
5000.0	3.10123e-05	0.00015078
10000	2.53022e-05	6.55385e-05

