0	-0.00396941	0
0.01	-0.00396904	2.09959e-05
0.02	-0.00396794	4.19146e-05
0.05	-0.00396059	0.000103562
0.1	-0.00393763	0.000200686
0.2	-0.00386431	0.000372881
0.5	-0.00352834	0.000700021
1.0	-0.0030459	0.000787654
2.0	-0.00264888	0.000654385
3.0	-0.00249793	0.00056721
5.0	-0.00234948	0.000486902
6.0	-0.00230278	0.000464675
10.0	-0.00218773	0.000418504
20.0	-0.00205949	0.000407054
27.0	-0.00200746	0.000425879
50.0	-0.00188569	0.000524306
100.0	-0.00165041	0.000742031
200.0	-0.00117445	0.000965846
500.0	-0.000384786	0.000809203
1000.0	-8.44629e-05	0.000482891
2000.0	8.54296e-06	0.000243242
5000.0	2.06842e-05	8.51125e-05
10000	1.483e-05	3.74586e-05
